id,Linkin Nimi,Linkin Kuvaus,Linkin hallintaorg,UniqueNimi,Kieli,Kohde (Organisaatio),Url
335,Ruotsinkieliset ja kaksikieliset kunnat,Suomen ja ruotsin kieli,Infopankki,Ruotsinkieliset ja kaksikieliset kunnat,fi,Kunnat.net,https://www.kuntaliitto.fi/kunnat-ja-kuntayhtymat/kaksikieliset-kunnat
338,Pysyvä oleskelulupa,Muutto Suomeen,Infopankki,Pysyvä oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/pysyva-oleskelulupa
339,Työnteko ilman oleskelulupaa,Muutto Suomeen,Infopankki,Työnteko ilman oleskelulupaa,fi,Maahanmuuttovirasto,https://migri.fi/tyonteko-ilman-oleskelulupaa
340,Lupatyypit,Muutto Suomeen,Infopankki,Lupatyypit,fi,Maahanmuuttovirasto,https://migri.fi/oleskelulupatyypit
341,Työnteko-oikeus,Muutto Suomeen,Infopankki,Työnteko-oikeus,fi,Maahanmuuttovirasto,https://migri.fi/hakijan-tyonteko-oikeus
343,Yrittäjän oleskelulupa,Muutto Suomeen,Infopankki,Yrittäjän oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/yrittaja
344,Oleskelulupa työnhakua varten,Muutto Suomeen,Infopankki,Oleskelulupa työnhakua varten,fi,Maahanmuuttovirasto,https://migri.fi/valmistumisen-jalkeen
346,ETA-alueen ulkopuolella asuvien yrittäjien luvat,Muutto Suomeen,Infopankki,ETA-alueen ulkopuolella asuvien yrittäjien luvat,fi,Patentti- ja rekisterihallitus,https://www.prh.fi/fi/kaupparekisteri/yeh/perustaminen/yehlupa.html
349,Tietoa opiskelijan oleskeluluvasta,Muutto Suomeen,Infopankki,Tietoa opiskelijan oleskeluluvasta,fi,Maahanmuuttovirasto,https://migri.fi/opiskelijan-oleskelulupahakemus
350,Kansalaisopistot Suomessa,Koulutus,Infopankki,Kansalaisopistot Suomessa,fi,Kansalaisopistojen liitto,https://kansalaisopistot.fi/kansalaisopistot-pahkinankuoressa/
351,Opiskelijan työnteko-oikeus,Muutto Suomeen,Infopankki,Opiskelijan työnteko-oikeus,fi,Maahanmuuttovirasto,https://migri.fi/opiskelu-suomessa
352,Työharjoittelu Suomessa,Muutto Suomeen,Infopankki,Työharjoittelu Suomessa,fi,Maahanmuuttovirasto,https://migri.fi/tyoharjoittelu
353,Oleskelulupaa uudella perusteella,Muutto Suomeen,Infopankki,Oleskelulupaa uudella perusteella,fi,Maahanmuuttovirasto,https://migri.fi/hakuperusteen-muuttaminen
354,TE-toimistojen yhteystiedot,Suomen ja ruotsin kieli (ei käytössä),Infopankki,TE-toimistojen yhteystiedot,fi,Työ- ja elinkeinoministeriö,https://toimistot.te-palvelut.fi/
355,Tietoa opiskelijan sosiaaliturvasta,Muutto Suomeen,Infopankki,Tietoa opiskelijan sosiaaliturvasta,fi,Kela,https://www.kela.fi/opiskelijat
356,Tietoa oleskeluluvista,Muutto Suomeen,Infopankki,Tietoa oleskeluluvista,fi,Maahanmuuttovirasto,https://migri.fi/oleskelulupa
357,Ulkomaalaisen opiskelijan opintotuki,Muutto Suomeen,Infopankki,Ulkomaalaisen opiskelijan opintotuki,fi,Kela,https://www.kela.fi/opintotuki-kuka-voi-saada?
358,Oikeudellista neuvontaa,Muutto Suomeen,Infopankki,Oikeudellista neuvontaa,fi,Pakolaisneuvonta ry,https://www.pakolaisneuvonta.fi/
359,Tietoa pakolaiskiintiöstä,Muutto Suomeen,Infopankki,Tietoa pakolaiskiintiöstä,fi,Maahanmuuttovirasto,https://migri.fi/kiintiopakolaiset
361,Tietoa kiintiöpakolaisten valinnasta,Muutto Suomeen,Infopankki,Tietoa kiintiöpakolaisten valinnasta,fi,Maahanmuuttovirasto,https://migri.fi/miten-kiintiopakolaiset-valitaan-
362,Suomen ja ruotsin kielen kursseja,Suomen ja ruotsin kieli,Infopankki,Suomen ja ruotsin kielen kursseja,fi,Finnishcourses.fi,https://finnishcourses.fi/fi
363,Oikeusaputoimistot,Muutto Suomeen,Infopankki,Oikeusaputoimistot,fi,Oikeuslaitos,https://oikeus.fi/oikeusapu/fi/index/yhteystiedot.html
364,Pakolaisen matkustusasiakirja,Muutto Suomeen,Infopankki,Pakolaisen matkustusasiakirja,fi,Maahanmuuttovirasto,https://migri.fi/pakolaisen-matkustusasiakirja
365,Oikeusapua pakolaisille,Muutto Suomeen,Infopankki,Oikeusapua pakolaisille,fi,Pakolaisneuvonta ry,https://www.pakolaisneuvonta.fi/yhteystiedot/
366,Käännyttäminen ja karkottaminen,Muutto Suomeen,Infopankki,Käännyttäminen ja karkottaminen,fi,Maahanmuuttovirasto,https://migri.fi/kaannyttaminen-ja-karkottaminen
367,Suomi toisena kielenä perusopetuksessa,Suomen ja ruotsin kieli (ei käytössä),Infopankki,Suomi toisena kielenä perusopetuksessa,fi,Opetushallitus,https://www.oph.fi/fi/koulutus-ja-tutkinnot/suomi-toisena-kielena-opetus
369,Vapaaehtoinen paluu,Muutto Suomeen,Infopankki,Vapaaehtoinen paluu,fi,Maahanmuuttovirasto,https://migri.fi/documents/5202425/6180789/Vapaaehtoinen+paluu+%28fi%29
370,Kielitaidon tasojen kuvausasteikko,Suomen ja ruotsin kieli,Infopankki,Kielitaidon tasojen kuvausasteikko,fi,Opetushallitus,https://www.oph.fi/fi/koulutus-ja-tutkinnot/kehittyvan-kielitaidon-tasojen-kuvausasteikko
371,Tukea pakolaisille,Muutto Suomeen,Infopankki,Tukea pakolaisille,fi,Suomen pakolaisapu ry,https://pakolaisapu.fi/
372,Apua syrjinnän uhrille,Ongelmatilanteet,Infopankki,Apua syrjinnän uhrille,fi,Yhdenvertaisuusvaltuutettu,https://syrjinta.fi/etusivu
377,Psykotraumatologian keskus,Terveys,Infopankki,Psykotraumatologian keskus,fi,Helsingin Diakonissalaitos,https://www.hdl.fi/tukea-ja-toimintaa/maahanmuuttajille/psykotraumatologian-keskus/
382,Tietoa varhaiskasvatuksesta,Koulutus,Infopankki,Tietoa varhaiskasvatuksesta,fi,Opetus- ja kulttuuriministeriö,https://minedu.fi/varhaiskasvatus
383,Tietoa yksityisestä varhaiskasvatuksesta,Koulutus,Infopankki,Tietoa yksityisestä varhaiskasvatuksesta,fi,Hoitopaikka.net,http://www.hoitopaikka.net/
384,Tietoa esiopetuksesta,Koulutus,Infopankki,Tietoa esiopetuksesta,fi,Opetushallitus,https://www.oph.fi/fi/koulutus-ja-tutkinnot/esiopetus
387,Turvapaikan hakeminen Suomesta,Muutto Suomeen,Infopankki,Turvapaikan hakeminen Suomesta,fi,Maahanmuuttovirasto,https://migri.fi/turvapaikka-suomesta
388,Tietoa turvapaikanhakijoille-esite,Muutto Suomeen,Infopankki,Tietoa turvapaikanhakijoille-esite,fi,Maahanmuuttovirasto,https://migri.fi/documents/5202425/6165225/Tietoa+turvapaikanhakijalle+%28fi%29
389,IOM yhteystiedot,Asettuminen Suomeen,Infopankki,IOM yhteystiedot,fi,IOM,
391,Oleskeluluvan peruminen,Muutto Suomeen,Infopankki,Oleskeluluvan peruminen,fi,Maahanmuuttovirasto,https://migri.fi/luvan-peruuttaminen
392,Suomen kansalaisuus,Asettuminen Suomeen,Infopankki,Suomen kansalaisuus,fi,Maahanmuuttovirasto,https://migri.fi/suomen-kansalaisuus
393,Turvapaikanhakijan työnteko-oikeus,Muutto Suomeen,Infopankki,Turvapaikanhakijan työnteko-oikeus,fi,Maahanmuuttovirasto,https://migri.fi/turvapaikanhakijan-tyonteko-oikeus
394,Suomen kansalaisuuden hakeminen,Asettuminen Suomeen,Infopankki,Suomen kansalaisuuden hakeminen,fi,Maahanmuuttovirasto,https://migri.fi/kansalaisuushakemus
395,Lapsen kansalaisuus,Asettuminen Suomeen,Infopankki,Lapsen kansalaisuus,fi,Maahanmuuttovirasto,https://migri.fi/kansalaisuus-lapselle
396,Turvapaikkahakemuksen käsittely,Muutto Suomeen,Infopankki,Turvapaikkahakemuksen käsittely,fi,Maahanmuuttovirasto,https://migri.fi/turvapaikkahakemuksen-kasittely
397,Kansalaisuushakemus,Asettuminen Suomeen,Infopankki,Kansalaisuushakemus,fi,Maahanmuuttovirasto,https://enterfinland.fi/eServices/
398,Turvapaikkahakemuksen tutkimatta jättäminen,Muutto Suomeen,Infopankki,Turvapaikkahakemuksen tutkimatta jättäminen,fi,Maahanmuuttovirasto,https://migri.fi/milloin-hakemusta-ei-kasitella-suomessa-
400,Turvapaikka,Muutto Suomeen,Infopankki,Turvapaikka,fi,Maahanmuuttovirasto,https://migri.fi/turvapaikka
401,Kansalaisuusilmoitus,Asettuminen Suomeen,Infopankki,Kansalaisuusilmoitus,fi,Maahanmuuttovirasto,https://migri.fi/kansalaisuusilmoitus
402,Oleskelulupa muulla perusteella,Muutto Suomeen,Infopankki,Oleskelulupa muulla perusteella,fi,Maahanmuuttovirasto,https://migri.fi/muulla-perusteella-suomeen
403,Kansalaisuusilmoitus-lomake,Asettuminen Suomeen,Infopankki,Kansalaisuusilmoitus-lomake,fi,Maahanmuuttovirasto,https://enterfinland.fi/eServices/
404,Turvapaikanhakijan käännyttäminen,Muutto Suomeen,Infopankki,Turvapaikanhakijan käännyttäminen,fi,Maahanmuuttovirasto,https://migri.fi/kaannyttaminen
405,Kansalaisuuslaki,Asettuminen Suomeen,Infopankki,Kansalaisuuslaki,fi,Finlex,https://www.finlex.fi/fi/laki/ajantasa/2004/20030359
406,Turvapaikkapäätöksestä valittaminen,Muutto Suomeen,Infopankki,Turvapaikkapäätöksestä valittaminen,fi,Maahanmuuttovirasto,https://migri.fi/muutoksenhaku-eli-paatoksesta-valittaminen
408,"Lapsi, joka on tullut Suomeen ilman huoltajaa",Muutto Suomeen,Infopankki,"Lapsi, joka on tullut Suomeen ilman huoltajaa",fi,Maahanmuuttovirasto,https://migri.fi/documents/5202425/6246482/Kansainv%C3%A4list%C3%A4+suojelua+hakevat+lapset+%28fi%29
409,Paluumuuttajan oleskelulupa,Muutto Suomeen,Infopankki,Paluumuuttajan oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/paluumuutto
411,Suomen passin hakeminen,Asettuminen Suomeen,Infopankki,Suomen passin hakeminen,fi,Poliisi,https://poliisi.fi/passi
413,Suomen passin hakeminen ulkomailla,Asettuminen Suomeen,Infopankki,Suomen passin hakeminen ulkomailla,fi,Ulkoministeriö,https://um.fi/hakeminen-ulkomailla
414,Syntyperäisen suomalaisen jälkeläisen oleskelulupa,Muutto Suomeen,Infopankki,Syntyperäisen suomalaisen jälkeläisen oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/syntyperaisen-suomalaisen-jalkelainen
415,Entisen Suomen kansalaisen oleskelulupa,Muutto Suomeen,Infopankki,Entisen Suomen kansalaisen oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/paluumuutto/entinen-suomen-kansalainen
416,Ulkosuomalaisten etujärjestö,Muutto Suomeen,Infopankki,Ulkosuomalaisten etujärjestö,fi,Suomi-Seura,https://suomi-seura.fi/fi/
417,Inkerinsuomalaisten yhdistys,Muutto Suomeen,Infopankki,Inkerinsuomalaisten yhdistys,fi,Inkerikeskus,https://inkerikeskus.fi/
420,Perhesiteen perusteella Suomeen,Muutto Suomeen,Infopankki,Perhesiteen perusteella Suomeen,fi,Maahanmuuttovirasto,https://migri.fi/perheenjasenen-luokse-suomeen
421,Toimeentuloedellytys,Muutto Suomeen,Infopankki,Toimeentuloedellytys,fi,Maahanmuuttovirasto,https://migri.fi/toimeentuloedellytys-suomesta-oleskeluluvan-saaneen-perheenjasenelle
422,Suomen kansalaisuuden menettäminen,Asettuminen Suomeen,Infopankki,Suomen kansalaisuuden menettäminen,fi,Maahanmuuttovirasto,https://migri.fi/kansalaisuuden-menettaminen
423,Oleskeluluvan hakeminen perhesiteen perusteella,Muutto Suomeen,Infopankki,Oleskeluluvan hakeminen perhesiteen perusteella,fi,Maahanmuuttovirasto,https://migri.fi/perheenjasenen-luokse-suomeen
426,Suomen kielen alkeiskurssi Easyfinnish,Suomen ja ruotsin kieli,Infopankki,Suomen kielen alkeiskurssi Easyfinnish,fi,Yle,https://yle.fi/aihe/artikkeli/2013/11/04/easyfinnish-suomen-kielen-alkeiskurssi-englanniksi
427,Pakolaisen perheenjäsen,Muutto Suomeen,Infopankki,Pakolaisen perheenjäsen,fi,Maahanmuuttovirasto,https://migri.fi/aviopuoliso-suomessa-pakolaisena
429,Hakemus Suomen kansalaisuudesta vapautumiseksi,Asettuminen Suomeen,Infopankki,Hakemus Suomen kansalaisuudesta vapautumiseksi,fi,Maahanmuuttovirasto,https://migri.fi/kansalaisuudesta_vapautuminen
430,Suomen kielen alkeiskurssi Tavataan taas,,Infopankki,Suomen kielen alkeiskurssi Tavataan taas,fi,Helsingin yliopisto,
431,Ulkomaiden edustustot Suomessa,Asettuminen Suomeen,Infopankki,Ulkomaiden edustustot Suomessa,fi,Ulkoministeriö,https://um.fi/ulkovaltojen-edustustot
437,Edullisia ulkomaanpuheluja,Asettuminen Suomeen,Infopankki,Edullisia ulkomaanpuheluja,fi,Globetel,https://globetel.fi/
438,Ulkomaalaisen rekisteröinti,Muutto Suomeen,Infopankki,Ulkomaalaisen rekisteröinti,fi,Digi- ja väestötietovirasto,https://dvv.fi/ulkomaalaisen-rekisterointi
441,Edullisia ulkomaanpuheluja,Asettuminen Suomeen,Infopankki,Edullisia ulkomaanpuheluja,fi,Skype,https://www.skype.com/fi/
443,Muuttotavaroiden tuonti Suomeen,Muutto Suomeen,Infopankki,Muuttotavaroiden tuonti Suomeen,fi,Tulli,https://tulli.fi/henkiloasiakkaat/muuttajalle
445,Kadonneen omaisen jäljittäminen,Asettuminen Suomeen,Infopankki,Kadonneen omaisen jäljittäminen,fi,Suomen Punainen Risti,https://www.punainenristi.fi/hae-apua-ja-tukea/kadonneiden-loytamiseen/
446,Tullineuvonta,Muutto Suomeen,Infopankki,Tullineuvonta,fi,Tulli,https://tulli.fi/tietoa-tullista/yhteystiedot
448,Kadonneen omaisen jäljittäminen,Muutto Suomeen,Infopankki,Kadonneen omaisen jäljittäminen,fi,Suomen Punainen Risti,https://www.punainenristi.fi/hae-apua-ja-tukea/kadonneiden-loytamiseen/henkilotiedustelu-kadonneen-loytamiseksi/
449,Ulkomaalaisen rekisteröinti verotoimistossa,Muutto Suomeen,Infopankki,Ulkomaalaisen rekisteröinti verotoimistossa,fi,Verohallinto,https://www.vero.fi/henkiloasiakkaat/verokortti-ja-veroilmoitus/ulkomailta_suomeen/suomeen-t%c3%b6ihin-tulevalle-suomalainen-henkil%c3%b6tunnus/
450,Muuttoilmoitus,Asettuminen Suomeen,Infopankki,Muuttoilmoitus,fi,Muuttoilmoitus.fi,https://www.posti.fi/fi/henkiloille/muuttoilmoitus
451,Ulkomainen ajokortti Suomessa,Muutto Suomeen,Infopankki,Ulkomainen ajokortti Suomessa,fi,Liikenne- ja viestintävirasto Traficom,https://ajokortti-info.fi/fi/perustietoa-ajokortista/ulkomaisen-ajokortin-kelpoisuus-suomessa
452,Muutto ulkomaille ja sosiaaliturva,Asettuminen Suomeen,Infopankki,Muutto ulkomaille ja sosiaaliturva,fi,Kela,https://www.kela.fi/sosiaaliturvaan-kuuluminen-suomesta-ulkomaille
453,Ulkomaalaisen pankkiasiat,Asettuminen Suomeen,Infopankki,Ulkomaalaisen pankkiasiat,fi,Finanssialan keskusliitto,https://www.finanssiala.fi/julkaisut/ulkomaalaisen-pankkiasiat/
