sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
d4be8171-1ea8-4fcb-b335-7cfa492fbb85;fi;Tietoa Vaasasta;;fi/vaasa/tietoa-vaasasta;8187;Tietoa Vaasasta
5e219db4-0238-4f20-ac17-9a0dc4644a3c;fi;Kokkola;;fi/kokkola;;
111e0594-0d14-45c8-ac84-431812a9de04;fi;Muutto Kokkolaan;;fi/kokkola/muutto-kokkolaan;6786;Muutto Kokkolaan
f3ec856c-f772-4334-9456-c7da9cedaf15;fi;Elämä Kokkolassa;;fi/kokkola/elama-kokkolassa;;
f9a2fdf9-b99b-454a-afd5-b1383fb497cf;fi;Asettuminen Kokkolaan;;fi/kokkola/elama-kokkolassa/asettuminen-kokkolaan;6787;Maahanmuuttajana Kokkolassa
300bcd96-b169-4745-a9c6-84bee739192f;fi;Työ ja yrittäjyys Kokkolassa;;fi/kokkola/elama-kokkolassa/tyo-ja-yrittajyys-kokkolassa;6788;Työ ja yrittäjyys Kokkolassa
ccac10a8-c6f3-456f-9ad1-f078b0a51554;fi;Suomen ja ruotsin kieli Kokkolassa;;fi/kokkola/elama-kokkolassa/suomen-ja-ruotsin-kieli-kokkolassa;6789;Suomen ja ruotsin kieli Kokkolassa
5a5a9564-8bc7-486a-9032-a5c1ab78f1b4;fi;Asuminen Kokkolassa;;fi/kokkola/elama-kokkolassa/asuminen-kokkolassa;6790;Asuminen Kokkolassa
2e526bfb-47fe-447a-bec0-a9d800f6b77d;fi;Koulutus Kokkolassa;;fi/kokkola/elama-kokkolassa/koulutus-kokkolassa;6791;Koulutus Kokkolassa
558314b1-b7d3-4eb9-8ff8-b9cd94258c02;fi;Terveys Kokkolassa;;fi/kokkola/elama-kokkolassa/terveys-kokkolassa;6792;Terveys Kokkolassa
ad4a44c0-0a45-470d-a0fa-18e9dc4a8e6c;fi;Perhe Kokkolassa;;fi/kokkola/elama-kokkolassa/perhe-kokkolassa;6793;Perhe Kokkolassa
c0d48252-a3b9-471f-9377-28c503466cbb;fi;Ongelmatilanteet Kokkolassa;;fi/kokkola/elama-kokkolassa/ongelmatilanteet-kokkolassa;6794;Ongelmatilanteet Kokkolassa
8c935248-2aa7-49fe-8cda-2fbd6ed65f89;fi;Vapaa-aika Kokkolassa;;fi/kokkola/elama-kokkolassa/vapaa-aika-kokkolassa;6795;Vapaa-aika Kokkolassa
ab5d8e9c-9835-4057-8e92-dae8f95b24d3;fi;Tietoa Kokkolasta;;fi/kokkola/tietoa-kokkolasta;6796;Tietoa Kokkolasta
4801216c-4339-4dd2-8e0f-b725d7aee691;fi;Raahe-Kalajoki seutu;;fi/raahe-kalajoki-seutu;6785;Raahe-Kalajoki seutu
